gender,tenure,PhoneService,TotalCharges,StreamingMovies,StreamingTV,TechSupport,Churn
Male,1,1,19.75,0,0,0,0
Male,71,0,3985.35,1,1,0,0
Female,13,1,1215.65,1,0,0,0
Female,25,0,1502.65,1,1,0,1
Male,67,1,3260.1,0,0,1,0
Male,1,0,35.45,1,0,0,1
Male,2,1,81.25,0,0,0,1
Female,43,1,1188.2,0,0,0,0
Female,23,1,1778.5,0,0,0,0
Female,64,1,1277.75,0,0,0,0
Male,57,1,1170.55,0,0,0,0
Female,1,1,70.45,0,0,0,1
Female,72,1,6425.65,1,1,1,0
Female,8,1,563.65,1,0,1,1
Female,61,1,5971.25,1,1,0,0
Male,64,1,5289.05,0,0,0,0
Male,71,1,1756.2,0,0,0,0
Female,65,1,6416.7,0,1,1,0
Male,3,1,61.35,0,0,0,0
Male,1,1,45.65,0,0,0,1
Male,30,1,1929.95,0,1,0,0
Male,15,1,1071.4,1,0,1,0
Female,8,1,564.35,1,1,1,0
Male,7,1,655.5,1,1,0,1
Female,70,1,7930.55,1,1,0,0
Male,62,1,5215.25,1,1,1,0
Female,6,1,113.5,0,0,0,0
Female,14,1,1152.8,1,0,0,0
Female,22,1,1821.95,0,1,0,0
Male,22,1,419.9,0,0,0,0
Male,16,1,1024.0,0,1,0,0
Male,10,1,251.6,0,0,0,0
Female,13,1,764.55,0,0,0,0
Female,20,1,1592.35,0,0,0,1
Female,2,1,135.2,0,0,0,0
Male,53,1,3958.25,1,0,1,0
Female,11,1,233.9,0,0,0,0
Male,69,1,1363.45,0,0,0,0
Female,4,1,273.0,0,0,0,1
Male,72,1,6254.45,1,1,1,0
Male,58,0,2651.2,1,0,0,1
Female,16,1,321.4,0,0,0,0
Male,43,1,3539.25,0,0,1,0
Female,2,1,242.8,1,1,1,1
Male,14,1,1181.75,1,1,1,0
Female,53,1,5000.2,1,1,0,1
Female,32,1,654.55,0,0,0,0
Female,34,1,780.2,0,0,0,0
Female,15,1,1145.7,0,0,0,1
Female,7,1,503.6,0,0,0,1
Female,15,1,1559.25,1,1,0,0
Male,61,1,1252.0,0,0,0,0
Female,1,0,29.95,0,0,0,1
Female,1,1,45.3,0,0,0,0
Male,8,1,662.65,1,0,0,1
Male,33,1,2453.3,1,1,0,0
Female,13,1,1111.65,0,0,0,1
Female,1,0,24.8,0,0,0,1
Male,20,1,1023.85,0,0,0,0
Male,3,0,82.15,0,0,1,0
Female,13,1,244.8,0,0,0,0
Female,40,1,2379.1,0,0,0,0
Male,43,1,3173.35,1,0,1,0
Male,6,1,531.0,1,0,0,1
Female,69,1,1375.4,0,0,0,0
Female,72,1,8129.3,1,1,0,0
Male,59,1,1192.7,0,0,0,0
Female,20,1,1901.65,0,1,1,0
Male,24,1,587.4,0,0,0,0
Male,59,1,6519.75,1,1,1,0
Male,72,1,8041.65,1,1,1,0
Male,1,1,20.75,0,0,0,0
Female,27,1,2681.15,1,1,1,0
Female,14,1,1112.3,0,0,1,0
Male,71,1,7405.5,1,1,0,0
Male,13,1,1033.95,0,1,0,0
Male,44,1,2958.95,0,0,0,0
Female,33,1,2684.85,0,0,1,0
Male,72,0,4179.2,1,0,1,0
Male,1,1,79.9,1,0,0,1
Female,19,1,1934.45,1,1,1,1
Male,64,1,6654.1,1,1,1,0
Male,2,1,84.5,0,0,0,1
Female,1,0,25.25,0,0,0,0
Male,61,1,1124.2,0,0,0,0
Female,29,1,540.05,0,0,0,0
Male,23,1,1975.85,1,0,0,0
Female,57,0,3437.45,1,1,0,0
Male,72,0,3139.8,0,0,1,0
Male,66,0,3789.2,0,1,1,0
Male,65,1,5324.5,1,1,1,0
Female,8,1,624.6,0,1,0,0
Female,4,1,268.35,0,0,0,1
Female,71,1,1836.9,0,0,0,0
Male,1,1,20.2,0,0,0,0
Male,4,1,179.35,0,0,1,1
Female,12,1,219.35,0,0,0,0
Male,24,0,1288.75,1,1,0,0
Female,31,1,2545.75,1,1,1,0
Female,1,1,55.2,0,1,0,1
Male,30,1,2723.15,1,0,1,0
Female,47,1,4107.25,1,1,1,0
Male,54,1,5760.65,1,1,1,0
Male,50,1,4747.5,1,0,1,0
Male,1,1,84.6,1,0,0,1
Female,72,1,1566.9,0,0,0,0
Female,29,1,702.0,0,0,0,0
Male,2,1,114.1,0,0,0,1
Female,10,0,299.05,0,0,1,0
Male,18,1,1305.95,0,0,0,0
Female,11,1,1120.3,1,1,0,1
Male,16,1,284.35,0,0,0,0
Female,72,1,6350.5,1,1,1,0
Male,72,1,7878.3,1,1,1,0
Female,41,1,3187.65,1,1,1,0
Female,65,1,6126.15,1,0,0,0
Female,13,1,731.3,0,0,0,0
Male,4,1,273.4,0,0,0,0
Male,41,1,2531.8,1,0,0,0
Male,15,1,1074.3,0,0,0,1
Male,1,1,48.55,0,0,0,1
Male,42,1,4298.45,1,0,0,0
Female,51,1,4619.55,0,1,0,0
Female,2,1,147.15,0,0,0,1
Male,1,0,40.2,0,1,0,1
Male,32,1,2633.3,1,1,1,0
Male,10,1,193.05,0,0,0,0
Female,67,0,4103.9,1,1,1,0
Female,61,1,7008.15,1,1,1,0
Male,50,1,5791.1,1,1,1,0
Female,2,1,80.55,0,0,0,1
Female,29,0,1228.65,1,0,0,0
Male,3,0,132.2,1,0,0,1
Male,13,1,1364.3,1,1,0,1
Male,57,1,4925.35,1,0,0,0
Female,31,0,1520.1,1,0,1,0
Female,45,1,5032.25,1,1,1,0
Female,61,1,5526.75,1,1,1,0
Male,50,1,1195.25,0,0,0,0
Female,19,1,2007.25,1,1,1,0
Male,59,1,1099.6,0,0,0,1
Female,71,1,1732.95,0,0,0,0
Female,16,1,1511.2,1,1,1,1
Male,57,1,3450.15,0,0,1,0
Male,1,0,24.8,0,0,0,1
Male,20,1,2172.05,1,1,1,0
Male,1,1,70.6,0,0,0,1
Male,5,1,401.1,0,0,1,1
Female,52,1,5624.85,1,1,0,1
Male,21,1,1339.8,1,0,0,0
Male,14,0,771.95,1,1,1,0
Female,5,1,244.75,0,0,0,0
Female,6,1,322.9,0,0,0,0
Female,10,1,498.25,0,0,0,0
Female,1,1,25.4,0,0,0,0
Female,68,1,3687.75,0,0,0,0
Male,18,1,1779.95,1,1,0,1
Female,22,1,1783.6,0,0,0,0
Female,20,1,927.15,0,0,0,0
Male,1,1,70.0,0,0,0,1
Male,8,1,606.55,0,0,0,1
Male,10,1,435.4,0,0,0,1
Male,24,1,1712.7,0,0,0,1
Male,35,1,2021.2,0,0,0,0
Male,23,1,1940.8,0,0,1,0
Female,6,1,567.8,1,1,0,0
Female,12,1,220.35,0,0,0,0
Male,1,1,20.25,0,0,0,0
Female,71,1,5436.45,0,0,0,0
Male,35,1,3437.5,1,1,0,0
Male,40,1,3015.75,1,1,0,0
Female,1,1,73.6,0,0,0,1
Male,23,1,1509.8,1,1,0,0
Female,4,1,396.1,1,1,0,1
Male,4,1,356.65,1,0,1,0
Female,68,0,4109.0,1,1,1,0
Male,38,1,3141.7,0,0,0,0
Male,52,1,1229.1,0,0,0,0
Male,32,1,2303.35,0,0,0,1
Male,29,1,2054.4,1,1,1,0
Male,38,1,3741.85,1,1,0,0
Male,48,1,3682.45,1,1,0,0
Female,1,1,19.25,0,0,0,0
Female,22,1,1886.25,1,0,1,0
Female,43,1,4895.1,1,1,1,0
Female,5,1,341.6,0,0,0,0
Male,5,1,415.55,0,1,0,1
Male,51,1,5686.4,1,1,1,0
Male,71,1,1355.1,0,0,0,0
Female,38,1,3058.65,1,1,1,1
Male,24,1,2231.05,1,1,0,1
Male,35,1,3236.35,0,1,1,0
Female,54,1,4350.1,1,1,1,1
Female,72,0,4264.0,1,1,1,0
Male,1,1,44.8,0,0,0,0
Female,9,1,422.3,0,0,0,0
Male,69,0,4176.7,1,1,1,0
Female,52,1,5138.1,1,1,1,0
Female,11,1,880.05,0,1,1,0
Female,2,1,139.05,0,0,0,1
Female,28,0,973.65,0,1,0,0
Female,17,1,1470.05,0,0,0,0
Female,35,1,739.35,0,0,0,0
Female,8,1,161.95,0,0,0,0
Male,46,1,4422.95,0,1,0,0
Female,7,1,511.25,0,0,0,1
Female,2,1,155.8,0,0,0,1
Male,68,1,5293.95,1,0,1,1
Female,43,1,4759.85,1,1,0,1
Female,68,1,6148.45,1,1,1,0
Female,36,1,3565.65,1,1,0,0
Male,63,1,6603.0,1,1,0,1
Female,32,1,1830.1,0,0,1,0
Female,71,1,6223.8,1,1,1,0
Female,66,1,4508.65,0,0,0,0
Male,63,1,1328.15,0,0,0,0
Female,41,1,865.0,0,0,0,0
Female,1,1,72.1,0,0,0,0
Female,2,1,168.2,1,1,0,1
Female,70,1,1303.5,0,0,0,0
Female,23,0,996.85,1,1,0,0
Female,64,1,6430.9,1,0,0,0
Male,37,1,2278.75,0,0,1,0
Male,17,1,681.4,0,0,0,0
Female,7,1,574.35,1,1,0,0
Male,4,1,371.9,0,0,0,1
Female,21,0,840.1,0,1,0,1
Female,10,1,846.0,1,0,0,1
Female,16,1,889.0,0,0,0,0
Male,64,1,6823.4,1,1,1,0
Male,27,0,805.1,0,0,0,1
Male,42,1,4016.75,1,1,0,0
Male,5,1,83.75,0,0,0,0
Female,41,1,3959.15,1,1,1,0
Male,58,1,2878.55,0,0,0,0
Female,47,1,945.7,0,0,0,0
Male,18,1,1373.05,0,0,1,0
Male,5,1,492.55,1,1,0,1
Male,23,1,1406.0,1,0,0,0
Female,1,1,19.15,0,0,0,0
Male,71,1,6962.85,1,1,0,0
Male,72,1,8126.65,1,1,1,0
Male,33,1,690.25,0,0,0,0
Male,2,1,181.5,0,1,0,1
Male,24,0,830.8,0,0,1,0
Female,56,1,5608.4,1,0,1,0
Male,37,1,3646.8,1,1,0,0
Female,43,1,3662.25,1,1,1,0
Male,1,0,25.35,0,0,0,0
Female,25,1,2566.5,1,1,1,1
Female,61,1,5308.7,1,1,1,0
Male,17,1,1410.25,0,0,1,0
Female,41,1,3339.05,0,0,1,0
Male,1,1,50.65,0,0,0,1
Male,72,0,4732.35,1,1,1,0
Male,1,1,90.85,1,0,0,1
Male,48,1,5067.45,1,1,0,0
Male,11,1,214.75,0,0,0,1
Female,55,1,4874.7,0,0,0,1
Female,42,0,2348.45,1,0,1,0
Male,44,1,4063.0,1,0,0,0
Male,1,1,44.0,0,0,0,0
Female,27,1,2595.25,1,1,0,0
Male,27,1,2309.55,1,1,1,0
Female,2,1,89.3,0,0,0,0
Female,19,1,367.55,0,0,0,0
Female,42,1,3944.5,1,1,0,0
Female,66,1,5965.95,1,1,1,0
Male,33,1,3694.7,1,1,1,0
Female,34,1,2524.45,0,0,0,1
Male,33,0,1803.7,1,1,1,0
Female,23,1,415.1,0,0,0,0
Female,32,1,624.15,0,0,0,0
Female,11,1,237.7,0,0,0,0
Male,69,1,7007.6,1,1,0,1
Female,68,1,3848.8,0,0,1,0
Male,20,1,419.4,0,0,0,0
Male,72,1,1468.75,0,0,0,0
Male,60,1,5812.0,0,1,0,0
Male,32,1,2861.45,1,1,0,0
Female,1,1,19.9,0,0,0,1
Male,1,1,19.6,0,0,0,1
Male,3,1,233.7,0,0,0,1
Female,46,1,1066.15,0,0,0,0
Female,29,1,2149.05,0,0,0,0
Male,51,1,4473.0,0,0,1,0
Female,48,1,3545.05,0,0,0,0
Female,16,1,1195.75,0,0,0,0
Male,70,1,6858.9,1,0,1,0
Female,40,1,1024.7,0,0,0,0
Female,22,1,1845.9,1,0,0,1
Female,1,1,75.3,0,0,0,1
Female,5,1,132.25,0,0,0,0
Female,7,1,515.45,0,0,0,0
Male,29,1,2830.45,1,0,1,0
Male,44,1,1110.5,0,0,0,0
Female,10,0,449.3,0,0,0,0
Female,55,1,2838.55,0,0,0,0
Male,52,1,5376.4,1,1,0,0
Female,10,1,858.6,1,0,0,0
Male,18,1,1395.05,0,0,0,0
Female,68,1,3975.7,0,0,1,0
Female,61,1,1182.55,0,0,0,1
Female,72,0,4784.45,1,1,1,0
Male,2,1,119.5,0,0,0,0
Male,12,1,518.9,0,0,0,1
Male,41,1,899.45,0,0,0,0
Female,26,0,1183.8,0,1,1,0
Male,36,1,720.05,0,0,0,0
Male,72,1,8468.2,1,1,1,0
Male,35,1,3161.2,1,0,1,0
Male,1,1,55.05,0,0,1,0
Female,16,1,1882.55,1,1,1,0
Female,49,1,5070.4,1,1,0,0
Female,54,1,6049.5,1,1,1,0
Female,18,1,1166.7,1,0,0,0
Female,36,1,2937.65,1,0,0,0
Female,60,1,6396.45,1,1,0,1
Female,1,1,69.55,0,0,0,1
Female,52,1,1270.25,0,0,0,0
Male,8,1,759.55,1,1,0,0
Male,72,1,7611.55,1,1,1,0
Female,64,1,1642.75,0,0,0,0
Female,22,1,1545.4,1,0,1,0
Male,60,0,3582.4,1,1,1,0
Female,28,1,2227.1,1,0,0,1
Female,61,1,1417.9,0,0,0,0
Female,24,1,2494.65,1,1,0,0
Male,28,1,2768.35,0,1,1,0
Female,30,1,2369.3,1,1,1,0
Male,2,1,38.0,0,0,0,0
Male,1,1,75.1,0,0,0,0
Male,6,1,100.9,0,0,0,0
Female,24,1,1614.05,1,1,0,0
Male,4,1,385.9,1,1,0,1
Male,7,1,673.25,1,1,0,1
Male,72,1,8404.9,1,1,1,0
Male,70,0,2799.75,1,0,1,0
Male,64,1,6538.45,1,1,1,0
Male,72,1,6588.95,0,1,0,0
Female,44,1,868.1,0,0,0,0
Female,13,1,734.35,1,0,0,1
Female,17,1,330.6,0,0,0,0
Male,1,1,55.0,1,0,0,1
Male,9,1,564.4,1,1,0,0
Male,24,1,1315.35,0,0,1,0
Female,1,1,74.7,0,0,0,1
Male,24,1,1861.5,0,0,0,1
Male,35,1,2747.2,1,1,1,0
Female,7,1,554.05,0,1,1,0
Male,5,1,453.4,1,1,1,1
Female,15,1,994.8,0,0,0,1
Male,11,1,225.75,0,0,0,0
Female,48,0,2145.0,1,0,0,1
Female,20,1,1671.6,1,0,0,0
Female,72,1,8003.8,1,1,1,0
Female,8,1,680.05,0,1,0,1
Male,72,1,6130.85,1,0,0,0
Female,15,1,1415.0,1,1,0,0
Male,72,1,6201.95,1,1,1,0
Female,0,0,0.0,0,1,1,0
Male,1,1,74.35,0,0,0,1
Male,63,1,6597.25,1,1,0,0
Female,2,1,114.15,0,1,0,0
Female,2,1,139.4,0,0,0,1
Male,61,1,3902.6,1,0,0,0
Male,1,1,20.4,0,0,0,0
Male,22,0,903.6,1,0,0,1
Male,28,1,1785.65,0,0,1,0
Female,70,1,1397.65,0,0,0,0
Female,5,0,131.05,0,0,0,1
Female,12,1,1238.45,1,0,0,1
Male,34,1,3899.05,1,1,1,0
Female,71,1,5676.0,0,0,0,0
Female,70,1,4543.15,1,0,0,0
Female,52,1,4326.8,0,0,1,0
Male,69,1,5502.55,0,1,1,0
Female,20,1,1782.4,1,0,0,1
Male,11,1,851.8,0,0,0,0
Male,2,1,167.5,1,1,1,1
Female,6,1,502.85,0,0,1,1
Female,1,1,19.85,0,0,0,0
Male,20,1,1818.3,1,0,1,0
Male,61,1,6300.15,1,1,0,0
Female,5,1,334.8,0,0,0,1
Female,56,1,5916.95,1,1,1,0
Male,30,1,2852.4,0,0,1,0
Male,40,1,4131.95,1,1,1,1
Female,28,1,1546.3,0,0,1,0
Female,5,1,302.6,0,0,0,0
Female,27,1,1929.35,0,0,0,1
Male,12,1,265.45,0,0,0,0
Male,67,1,6989.45,1,1,0,0
Male,29,1,1442.0,0,0,0,0
Male,55,1,4713.4,1,0,0,0
Female,23,1,1758.6,0,0,0,1
Male,34,1,3480.0,1,1,0,1
Male,52,1,4738.3,0,1,0,0
Male,72,1,8399.15,1,1,1,0
Male,58,1,5430.35,0,1,1,0
Male,35,1,686.95,0,0,0,0
Female,56,1,5706.3,0,1,1,0
Female,24,1,490.65,0,0,0,0
Male,70,1,1360.25,0,0,0,0
Male,2,1,174.45,0,1,0,0
Male,68,1,7379.8,1,1,1,0
Female,1,1,85.0,1,0,0,1
Male,12,1,1021.75,0,1,0,0
Female,63,1,5029.05,0,0,0,0
Female,33,1,1955.4,0,0,0,0
Female,69,1,6744.2,1,1,0,0
Female,60,1,4946.7,1,1,1,0
Female,72,1,8248.5,1,1,1,0
Female,11,1,601.6,1,0,0,0
Female,1,1,19.55,0,0,0,0
Male,10,1,834.1,0,1,0,1
Male,13,0,597.0,0,1,1,1
Male,34,1,2647.2,1,0,0,0
Male,39,1,3266.0,0,1,0,1
Female,65,1,6744.25,1,1,1,0
Male,50,1,5265.5,0,1,0,0
Male,15,1,311.6,0,0,0,0
Male,72,1,7966.9,1,1,0,0
Female,72,1,8220.4,1,1,1,0
Male,55,1,1153.25,0,0,0,0
Female,23,1,514.75,0,0,0,0
Male,32,1,2596.15,0,0,0,1
Female,56,1,3808.0,1,0,0,0
Female,1,1,19.9,0,0,0,0
Male,38,1,2708.2,0,1,1,0
Male,11,1,760.05,0,0,0,0
Male,1,1,49.3,0,0,1,0
Male,56,1,6033.3,1,1,1,0
Male,3,1,89.05,0,0,0,0
Male,7,1,516.15,1,1,0,0
Male,59,1,5861.75,1,1,0,0
Male,7,1,445.95,0,1,1,0
Male,71,1,4973.4,1,0,1,0
Male,15,1,1667.25,1,1,1,0
Male,71,1,5357.75,0,1,1,0
Female,35,1,3527.6,1,1,0,1
Female,11,0,422.6,0,0,1,0
Female,60,1,1103.25,0,0,0,0
Male,47,1,2754.0,0,0,1,0
Female,11,1,697.25,1,0,1,0
Male,56,1,5614.45,1,1,0,1
Female,28,1,3204.4,1,1,1,0
Male,61,1,4747.65,1,1,1,0
Male,31,1,3082.1,0,1,0,0
Male,9,1,597.9,0,0,0,0
Male,35,1,3365.4,1,0,0,0
Male,2,1,38.8,0,0,0,0
Female,12,1,233.55,0,0,0,1
Female,1,1,75.3,0,0,0,1
Female,4,1,346.2,0,1,0,1
Female,1,1,19.0,0,0,0,0
Female,3,1,61.7,0,0,0,0
Female,1,1,85.7,0,1,0,1
Male,52,1,3342.45,0,1,0,0
Male,5,1,85.1,0,0,0,0
Male,72,1,7422.1,1,0,0,0
Male,71,1,6668.05,1,1,1,0
Male,72,1,8071.05,1,1,1,0
Male,46,1,1174.8,0,0,0,0
Male,63,1,5435.0,1,1,0,0
Male,30,1,2438.6,0,0,0,0
Male,1,1,45.6,0,0,0,0
Female,12,1,713.75,0,0,1,1
Male,16,0,916.15,0,1,1,0
Male,4,1,237.2,1,0,1,0
Male,51,1,4614.55,1,0,0,0
Male,65,1,1414.45,0,0,0,0
Male,16,1,1170.5,0,0,1,0
Male,2,1,47.7,0,0,0,0
Female,66,1,4859.25,0,0,0,0
Male,46,1,4903.2,1,1,1,0
Female,32,1,3608.0,1,1,1,0
Male,72,1,6094.25,1,1,1,0
Male,38,1,3084.9,1,1,1,0
Male,51,1,2356.75,0,0,1,0
Male,72,1,8306.05,1,1,1,0
Female,65,1,6786.4,1,1,0,1
Male,9,0,248.95,0,0,0,1
Female,9,1,663.05,0,0,1,1
Male,66,1,1357.1,0,0,0,0
Female,44,1,4860.35,1,1,0,0
Male,50,1,3418.2,1,0,1,0
Female,15,1,631.4,0,0,0,0
Male,8,0,186.3,0,0,0,0
Female,66,1,6976.75,1,1,1,0
Female,57,1,4884.85,0,0,1,0
Female,7,1,522.95,0,0,0,0
Male,10,0,362.6,1,0,0,0
Female,62,1,5755.8,0,0,0,0
Male,40,1,3355.65,0,1,0,0
Female,20,1,406.95,0,0,0,0
Female,7,1,137.6,0,0,0,1
Female,25,1,2395.7,1,1,1,0
Male,23,1,1968.1,0,0,0,0
Female,66,1,6819.45,1,1,0,0
Female,72,1,7943.45,1,1,1,0
Male,49,1,4547.25,1,0,0,1
Male,43,1,4687.9,1,1,1,1
Female,46,1,2473.95,0,0,0,0
Male,72,1,6562.9,1,1,1,0
Male,10,1,176.3,0,0,0,0
Female,40,0,2236.2,1,1,1,0
Female,65,1,6985.65,1,1,0,1
Male,31,1,3109.9,1,1,1,0
Female,68,1,4911.35,0,0,1,0
Male,56,1,5794.65,1,1,0,1
Male,10,1,855.3,1,0,0,1
Male,68,1,1620.2,0,0,0,0
Female,43,1,2499.3,0,1,0,1
Male,1,1,89.55,1,1,0,1
Female,49,1,4287.2,1,0,0,0
Female,15,1,394.85,0,0,0,0
Male,20,1,1899.65,1,1,0,1
Male,1,1,45.7,0,0,0,1
Male,50,1,3442.15,0,1,1,0
Female,2,1,161.5,1,0,0,1
Male,24,1,1732.6,0,0,0,0
Female,3,1,222.3,0,0,0,1
Female,1,1,74.6,0,0,0,1
Male,35,1,655.3,0,0,0,0
Female,17,1,475.25,0,0,0,0
Female,8,1,164.3,0,0,0,1
Male,10,1,865.1,1,1,1,0
Male,68,1,6132.7,1,1,1,0
Male,45,1,3597.5,1,1,0,0
Male,2,1,35.9,0,0,0,1
Male,37,1,697.65,0,0,0,0
Female,4,0,96.05,0,0,0,1
Female,10,1,428.7,0,0,0,0
Male,1,1,20.05,0,0,0,0
Male,65,1,4459.15,1,0,0,0
Female,57,1,1167.6,0,0,0,0
Female,3,1,238.1,0,0,0,0
Female,2,1,145.15,0,0,0,1
Male,49,0,1453.1,0,0,0,0
Female,4,1,191.05,0,0,0,1
Female,70,0,4039.3,1,1,1,0
Female,53,1,1039.45,0,0,0,0
Male,53,1,1336.1,0,0,0,0
Female,1,1,75.05,0,0,0,1
Male,22,1,493.4,0,0,0,0
Male,52,0,2550.9,1,1,0,1
Male,65,1,7246.15,1,1,1,0
Female,48,1,1203.95,0,0,0,0
Female,2,0,62.25,1,0,0,1
Male,3,1,313.6,1,1,0,0
Male,45,1,3775.85,0,0,0,0
Male,1,1,80.0,1,0,0,1
Female,61,1,4616.05,1,1,1,0
Male,3,1,195.65,0,1,1,0
Female,40,1,4188.4,1,1,1,0
Female,1,1,71.1,0,0,0,0
Female,1,1,49.9,0,0,1,0
Male,51,1,1266.4,0,0,0,0
Male,2,1,91.1,0,0,0,1
Male,52,0,1623.4,0,0,0,0
Male,51,1,4149.45,1,0,0,0
Male,1,1,20.45,0,0,0,0
Male,31,1,2344.5,1,0,1,0
Male,47,1,1013.05,0,0,0,0
Female,3,1,270.7,0,0,0,1
Female,22,1,417.0,0,0,0,0
Female,1,1,20.65,0,0,0,0
Male,72,1,6316.2,1,1,1,0
Male,3,1,168.15,0,0,0,1
Male,47,1,4018.05,0,1,0,0
Male,72,1,4811.6,0,0,1,0
Male,66,1,4189.7,0,1,0,0
Male,35,1,2848.45,0,1,0,0
Male,29,1,2516.2,1,0,0,0
Female,2,1,33.6,0,0,0,0
Male,4,1,208.45,0,0,0,0
Female,25,1,2015.35,0,0,0,1
Female,65,1,3739.8,0,0,1,0
Male,27,1,2964.0,1,1,1,0
Male,29,1,2263.4,0,0,0,0
